epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,53577.6,1.04174,1.44451,1.67789,0.70285,0.58802,0.65459,0.411,1.20579,1.36557,1.52679,0.000748,0.000748,0.000748
44,54388.8,1.03343,1.42455,1.67245,0.71469,0.58595,0.65656,0.41407,1.20427,1.35222,1.52381,0.000742,0.000742,0.000742
45,55185.5,1.03416,1.40665,1.66609,0.72399,0.58966,0.66327,0.41684,1.20011,1.34093,1.51911,0.000736,0.000736,0.000736
46,56003.3,1.02525,1.3966,1.66361,0.72034,0.59661,0.66829,0.42009,1.19383,1.3308,1.51029,0.00073,0.00073,0.00073
47,56834.8,1.0142,1.37463,1.64875,0.70934,0.61177,0.67323,0.42502,1.18368,1.31691,1.49943,0.000724,0.000724,0.000724
48,57659.1,1.01528,1.36257,1.65115,0.71668,0.61276,0.6789,0.4302,1.17715,1.30359,1.49418,0.000718,0.000718,0.000718
49,58469,1.01448,1.35773,1.64756,0.71531,0.61409,0.68177,0.43074,1.1713,1.29446,1.48896,0.000712,0.000712,0.000712
50,59266,1.00593,1.34054,1.64314,0.7071,0.63013,0.68696,0.43517,1.16792,1.28518,1.48863,0.000706,0.000706,0.000706
51,60049.6,1.00112,1.33091,1.63059,0.71901,0.62632,0.68786,0.43611,1.16454,1.27839,1.48429,0.0007,0.0007,0.0007
52,60864.8,0.9981,1.32147,1.63209,0.72932,0.62464,0.68969,0.43853,1.1594,1.26998,1.47714,0.000694,0.000694,0.000694
53,61668.5,0.98455,1.29914,1.62522,0.72965,0.62625,0.6924,0.44083,1.15471,1.25982,1.47337,0.000688,0.000688,0.000688
54,62462.1,0.99244,1.28874,1.62586,0.72104,0.63321,0.69249,0.44343,1.15072,1.24939,1.46981,0.000682,0.000682,0.000682
55,63247.5,0.97814,1.26899,1.61862,0.71926,0.63812,0.69409,0.44513,1.14669,1.24077,1.46581,0.000676,0.000676,0.000676
56,64042.8,0.97774,1.26565,1.61329,0.72163,0.64158,0.69705,0.44823,1.14279,1.23227,1.46193,0.00067,0.00067,0.00067
57,64841.9,0.97226,1.24714,1.60528,0.72527,0.6487,0.70208,0.451,1.14043,1.22201,1.45869,0.000664,0.000664,0.000664
58,65642.1,0.96147,1.24529,1.59849,0.72234,0.65463,0.70464,0.45398,1.13708,1.21175,1.45568,0.000658,0.000658,0.000658
59,66425.2,0.95321,1.22926,1.59381,0.73807,0.65025,0.70833,0.45672,1.13277,1.20389,1.45266,0.000652,0.000652,0.000652
60,67204.8,0.95865,1.22182,1.59344,0.73839,0.65285,0.70882,0.45896,1.13007,1.19669,1.44992,0.000646,0.000646,0.000646
61,67985,0.9562,1.20747,1.59691,0.73767,0.65422,0.70901,0.46048,1.12718,1.1899,1.44755,0.00064,0.00064,0.00064
62,68769.7,0.94586,1.19056,1.5843,0.73075,0.6606,0.71164,0.46283,1.12436,1.18404,1.4452,0.000634,0.000634,0.000634
63,69548.8,0.94378,1.18561,1.58227,0.73442,0.66115,0.71421,0.46529,1.11997,1.17711,1.44153,0.000628,0.000628,0.000628
64,70328.8,0.94043,1.18122,1.57592,0.73623,0.66115,0.71556,0.46657,1.11703,1.17063,1.43907,0.000622,0.000622,0.000622
65,71108.7,0.93518,1.17479,1.56982,0.74364,0.65767,0.71766,0.46855,1.11298,1.16493,1.43575,0.000616,0.000616,0.000616
66,71887.6,0.93175,1.15753,1.57095,0.7397,0.66459,0.72082,0.4707,1.10969,1.15921,1.43341,0.00061,0.00061,0.00061
67,72682.6,0.9251,1.14548,1.5642,0.74168,0.6628,0.72188,0.47271,1.10678,1.15387,1.43117,0.000604,0.000604,0.000604
68,73476.3,0.92403,1.14096,1.56161,0.74507,0.6612,0.72361,0.47434,1.1037,1.14797,1.42911,0.000598,0.000598,0.000598
69,74287.8,0.91976,1.1381,1.5571,0.7417,0.6652,0.72351,0.47604,1.10105,1.1424,1.42678,0.000592,0.000592,0.000592
70,75076.2,0.91034,1.12145,1.55257,0.74278,0.66831,0.7261,0.47787,1.09916,1.13754,1.42518,0.000586,0.000586,0.000586
71,75868.3,0.9036,1.11097,1.54566,0.74244,0.6703,0.7278,0.47903,1.09692,1.13308,1.42326,0.00058,0.00058,0.00058
72,76659,0.90635,1.10713,1.5406,0.74331,0.67054,0.72851,0.48083,1.09455,1.12807,1.42126,0.000574,0.000574,0.000574
73,77444.3,0.90068,1.08892,1.542,0.74467,0.67028,0.72989,0.48174,1.09174,1.12344,1.41878,0.000568,0.000568,0.000568
74,78228.3,0.89042,1.08625,1.52849,0.74488,0.6714,0.73094,0.48346,1.0889,1.11868,1.41646,0.000562,0.000562,0.000562
75,79013.1,0.88886,1.07119,1.52648,0.74163,0.67544,0.73152,0.48465,1.08662,1.11419,1.41448,0.000556,0.000556,0.000556
76,79797.8,0.88478,1.06657,1.52209,0.74303,0.68038,0.73379,0.48622,1.08414,1.10973,1.41246,0.00055,0.00055,0.00055
77,80582.3,0.88695,1.06015,1.52821,0.7381,0.68232,0.73439,0.48788,1.08176,1.1058,1.41024,0.000544,0.000544,0.000544
78,81776.5,0.87982,1.04833,1.51811,0.73557,0.68498,0.73521,0.48884,1.07914,1.10194,1.40817,0.000538,0.000538,0.000538
79,84129,0.87556,1.0495,1.51748,0.73572,0.68436,0.7354,0.49031,1.07692,1.09783,1.40623,0.000532,0.000532,0.000532
80,86430.9,0.87194,1.04099,1.51079,0.73844,0.68436,0.73605,0.49066,1.07496,1.0944,1.40472,0.000526,0.000526,0.000526
81,88791.3,0.86394,1.03382,1.5044,0.7399,0.68415,0.73706,0.49211,1.0727,1.09087,1.40261,0.00052,0.00052,0.00052
82,91132.1,0.86043,1.02268,1.50072,0.73962,0.68818,0.73802,0.49336,1.07046,1.08692,1.40041,0.000514,0.000514,0.000514
83,93482.1,0.85575,1.01513,1.49725,0.73953,0.68958,0.73928,0.49454,1.06823,1.08363,1.39851,0.000508,0.000508,0.000508
84,95842.2,0.85131,1.00594,1.49447,0.73789,0.69277,0.74033,0.49579,1.06603,1.07993,1.39671,0.000502,0.000502,0.000502
85,98186.3,0.854,1.00589,1.48834,0.73838,0.69206,0.74032,0.49728,1.06365,1.07639,1.39473,0.000496,0.000496,0.000496
86,100537,0.84482,0.99737,1.48583,0.73872,0.69269,0.74134,0.49885,1.06104,1.07246,1.39257,0.00049,0.00049,0.00049
87,102887,0.84053,0.98587,1.47942,0.73969,0.69368,0.74177,0.50012,1.05876,1.06887,1.39044,0.000484,0.000484,0.000484
88,105241,0.83241,0.97515,1.47929,0.74183,0.69358,0.74236,0.50088,1.05643,1.06523,1.38834,0.000478,0.000478,0.000478
89,107589,0.83534,0.9732,1.47513,0.74615,0.69521,0.74326,0.50182,1.05409,1.06195,1.38658,0.000472,0.000472,0.000472
90,109941,0.82674,0.96129,1.46514,0.74517,0.69554,0.7442,0.50285,1.05187,1.05815,1.38458,0.000466,0.000466,0.000466
91,112289,0.83133,0.95202,1.46692,0.74298,0.69796,0.74583,0.50428,1.04962,1.05471,1.3825,0.00046,0.00046,0.00046
92,114637,0.82459,0.95886,1.46623,0.74442,0.69742,0.74586,0.50495,1.04743,1.05144,1.38057,0.000454,0.000454,0.000454
93,116986,0.81762,0.94337,1.45877,0.7426,0.69907,0.74674,0.50635,1.04511,1.04768,1.37839,0.000448,0.000448,0.000448
94,119331,0.82089,0.94826,1.46097,0.74757,0.69664,0.74846,0.50824,1.04236,1.04415,1.37612,0.000442,0.000442,0.000442
95,121683,0.80979,0.94283,1.45267,0.74836,0.69688,0.74976,0.50987,1.03994,1.04034,1.37415,0.000436,0.000436,0.000436
96,124035,0.80646,0.92584,1.44681,0.74808,0.6975,0.75086,0.51119,1.03739,1.037,1.37164,0.00043,0.00043,0.00043
97,126388,0.81001,0.93075,1.45154,0.74994,0.69654,0.75202,0.5126,1.03479,1.03365,1.36931,0.000424,0.000424,0.000424
98,127641,0.8052,0.91891,1.44392,0.74769,0.6969,0.7528,0.5141,1.03205,1.03034,1.36682,0.000418,0.000418,0.000418
99,128388,0.79377,0.91591,1.4306,0.74939,0.69508,0.75339,0.51511,1.02974,1.02692,1.36446,0.000412,0.000412,0.000412
100,129133,0.7885,0.90666,1.43241,0.753,0.69294,0.75434,0.51651,1.02736,1.02341,1.3624,0.000406,0.000406,0.000406
101,129878,0.78869,0.89988,1.43269,0.75372,0.69363,0.75557,0.51763,1.02485,1.01989,1.36012,0.0004,0.0004,0.0004
