epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17554.8,1.04781,1.5424,1.67718,0.7421,0.60683,0.68907,0.42333,1.22609,1.38034,1.5729,0.000748,0.000748,0.000748
44,18001.3,1.04437,1.5351,1.6784,0.72697,0.61934,0.69361,0.42787,1.21333,1.36741,1.56475,0.000742,0.000742,0.000742
45,18414.9,1.04099,1.5295,1.6727,0.73762,0.62047,0.69838,0.43144,1.21121,1.35496,1.56229,0.000736,0.000736,0.000736
46,18800.6,1.03727,1.52451,1.66572,0.75055,0.62049,0.70001,0.43407,1.20539,1.34331,1.55626,0.00073,0.00073,0.00073
47,19235.8,1.03292,1.50358,1.66548,0.74517,0.62247,0.70084,0.43827,1.20253,1.33332,1.55243,0.000724,0.000724,0.000724
48,19629.6,1.03123,1.48395,1.66165,0.75322,0.61857,0.7019,0.44132,1.19775,1.32781,1.54827,0.000718,0.000718,0.000718
49,20037,1.03944,1.49578,1.66928,0.75639,0.62834,0.71014,0.44753,1.19056,1.31552,1.53924,0.000712,0.000712,0.000712
50,20429.2,1.02359,1.48571,1.65719,0.7532,0.63414,0.71486,0.44834,1.18942,1.30615,1.53666,0.000706,0.000706,0.000706
51,20847.7,1.01992,1.47022,1.65258,0.75889,0.64115,0.71682,0.45124,1.18638,1.29743,1.5329,0.0007,0.0007,0.0007
52,21330.6,1.01224,1.45306,1.64247,0.75451,0.64089,0.7184,0.45439,1.18249,1.28898,1.52845,0.000694,0.000694,0.000694
53,21758.4,1.02241,1.45905,1.65368,0.75684,0.6435,0.71794,0.45559,1.1828,1.28123,1.52627,0.000688,0.000688,0.000688
54,22175.7,1.00526,1.43317,1.63619,0.75731,0.64735,0.7196,0.45693,1.18028,1.27667,1.52328,0.000682,0.000682,0.000682
55,22570.5,1.00998,1.43971,1.64455,0.75426,0.64749,0.72038,0.45781,1.17896,1.26818,1.52108,0.000676,0.000676,0.000676
56,23048.4,1.00468,1.4247,1.63276,0.75518,0.64975,0.71841,0.45818,1.17617,1.26207,1.51892,0.00067,0.00067,0.00067
57,23435.1,0.99601,1.39208,1.62481,0.76282,0.65054,0.7213,0.45996,1.1737,1.25495,1.51622,0.000664,0.000664,0.000664
58,23889.8,0.99127,1.39731,1.62565,0.76369,0.65265,0.72638,0.46273,1.16966,1.24848,1.51265,0.000658,0.000658,0.000658
59,24342.4,0.99828,1.39182,1.62861,0.76703,0.6496,0.72625,0.46439,1.16474,1.24146,1.5093,0.000652,0.000652,0.000652
60,24754.3,0.98349,1.37024,1.6129,0.7676,0.65246,0.72978,0.46577,1.1615,1.23504,1.5066,0.000646,0.000646,0.000646
61,25206,0.98781,1.35981,1.61667,0.76625,0.65617,0.73078,0.46747,1.15763,1.22971,1.50323,0.00064,0.00064,0.00064
62,25673.5,0.98305,1.36209,1.61405,0.7619,0.66631,0.73045,0.46916,1.15462,1.22347,1.50037,0.000634,0.000634,0.000634
63,26084.8,0.98572,1.36821,1.61635,0.76577,0.66775,0.73278,0.4709,1.15137,1.21785,1.49747,0.000628,0.000628,0.000628
64,26488.8,0.97557,1.34533,1.60083,0.77489,0.66476,0.7333,0.47281,1.14832,1.21224,1.49412,0.000622,0.000622,0.000622
65,26883.8,0.96505,1.32984,1.59639,0.77557,0.66325,0.73251,0.47385,1.1453,1.20701,1.49149,0.000616,0.000616,0.000616
66,27289.3,0.97299,1.33033,1.60329,0.77268,0.66898,0.73399,0.47567,1.14265,1.20226,1.48949,0.00061,0.00061,0.00061
67,27660.8,0.96538,1.31637,1.59371,0.77506,0.66835,0.73499,0.47637,1.14057,1.19704,1.48765,0.000604,0.000604,0.000604
68,28037.3,0.96172,1.2999,1.59065,0.76842,0.67295,0.7357,0.47706,1.13888,1.19209,1.48597,0.000598,0.000598,0.000598
69,28462.1,0.96963,1.3231,1.60078,0.7707,0.6738,0.73728,0.47863,1.13638,1.1878,1.48343,0.000592,0.000592,0.000592
70,28899.9,0.9462,1.28497,1.57788,0.77089,0.67536,0.73813,0.47993,1.13417,1.18368,1.48114,0.000586,0.000586,0.000586
71,29279.6,0.94618,1.27757,1.57735,0.76893,0.67738,0.73931,0.48055,1.13235,1.1792,1.47898,0.00058,0.00058,0.00058
72,29652.3,0.94999,1.2831,1.58239,0.76957,0.67717,0.74011,0.48207,1.13013,1.17564,1.47703,0.000574,0.000574,0.000574
73,30097.7,0.93786,1.26314,1.56827,0.76957,0.68057,0.74089,0.48285,1.12809,1.17146,1.47486,0.000568,0.000568,0.000568
74,30542.1,0.94394,1.26749,1.57312,0.7693,0.68398,0.74271,0.48454,1.12596,1.16713,1.4728,0.000562,0.000562,0.000562
75,30965.5,0.93408,1.25301,1.56482,0.76874,0.68598,0.7431,0.48562,1.12404,1.16291,1.47075,0.000556,0.000556,0.000556
76,31408.5,0.93612,1.24126,1.56515,0.77067,0.6862,0.74422,0.48643,1.12205,1.1587,1.46823,0.00055,0.00055,0.00055
77,31849.3,0.93154,1.22972,1.56118,0.76918,0.68853,0.74571,0.48742,1.11976,1.15538,1.46582,0.000544,0.000544,0.000544
78,32288.8,0.92787,1.23511,1.55786,0.76915,0.68926,0.74671,0.48894,1.11793,1.15133,1.46383,0.000538,0.000538,0.000538
79,32675.9,0.92562,1.21792,1.55884,0.7682,0.69242,0.74858,0.48995,1.11626,1.14784,1.46234,0.000532,0.000532,0.000532
80,33097.8,0.92194,1.21292,1.55452,0.77136,0.69296,0.74997,0.49142,1.11435,1.14414,1.46047,0.000526,0.000526,0.000526
81,33543.8,0.92127,1.20142,1.5474,0.77137,0.69563,0.75233,0.49288,1.11268,1.14014,1.45905,0.00052,0.00052,0.00052
82,33997.8,0.92145,1.21384,1.54772,0.76592,0.69932,0.75274,0.4939,1.11109,1.13673,1.45765,0.000514,0.000514,0.000514
83,34426.1,0.91577,1.19779,1.54473,0.76781,0.69836,0.75447,0.49514,1.10951,1.13328,1.45634,0.000508,0.000508,0.000508
84,34804.9,0.91608,1.19899,1.54355,0.77071,0.7006,0.75576,0.49655,1.1076,1.12968,1.45458,0.000502,0.000502,0.000502
85,35159.6,0.91659,1.19633,1.54566,0.76918,0.70271,0.75589,0.49757,1.10604,1.12682,1.45288,0.000496,0.000496,0.000496
86,35593.3,0.91075,1.18102,1.53764,0.77003,0.70344,0.75605,0.49881,1.10391,1.12357,1.45088,0.00049,0.00049,0.00049
87,36000.5,0.89887,1.1676,1.52878,0.77069,0.70345,0.75708,0.49968,1.10223,1.11991,1.44907,0.000484,0.000484,0.000484
88,36441.3,0.89328,1.15214,1.52204,0.77198,0.70325,0.75823,0.50093,1.10039,1.11657,1.44716,0.000478,0.000478,0.000478
89,36956.1,0.90022,1.16237,1.53105,0.77437,0.69936,0.75926,0.50259,1.0983,1.11352,1.44509,0.000472,0.000472,0.000472
90,37342.5,0.9112,1.1676,1.5351,0.77753,0.69687,0.75968,0.50386,1.09618,1.11014,1.44302,0.000466,0.000466,0.000466
91,37791.3,0.89319,1.14843,1.52227,0.78224,0.69724,0.76166,0.50494,1.09417,1.10698,1.44111,0.00046,0.00046,0.00046
92,38179.3,0.88443,1.14196,1.51529,0.78344,0.69559,0.7622,0.50485,1.09195,1.10338,1.4393,0.000454,0.000454,0.000454
93,38549.6,0.88169,1.13528,1.51213,0.78805,0.69652,0.76324,0.50547,1.09017,1.09978,1.43745,0.000448,0.000448,0.000448
94,38961.1,0.88117,1.133,1.50881,0.78871,0.69789,0.76416,0.50691,1.08857,1.09625,1.43601,0.000442,0.000442,0.000442
95,39383.6,0.87304,1.12633,1.50585,0.78758,0.70368,0.76488,0.50831,1.08685,1.09262,1.43439,0.000436,0.000436,0.000436
96,39827.5,0.87595,1.12806,1.50677,0.78882,0.70301,0.76489,0.50854,1.08492,1.0892,1.43233,0.00043,0.00043,0.00043
97,40235.7,0.86258,1.10192,1.49556,0.78775,0.70433,0.76495,0.50996,1.08328,1.08588,1.43075,0.000424,0.000424,0.000424
98,40690.3,0.87273,1.11691,1.49968,0.7871,0.70644,0.76638,0.51117,1.08152,1.08242,1.42893,0.000418,0.000418,0.000418
99,41118.5,0.86907,1.10598,1.49676,0.78899,0.70778,0.76765,0.51236,1.07947,1.07908,1.4267,0.000412,0.000412,0.000412
100,41571.1,0.8724,1.10127,1.49765,0.79241,0.707,0.76872,0.51368,1.07771,1.07576,1.42512,0.000406,0.000406,0.000406
101,41918.5,0.84815,1.0819,1.48297,0.79273,0.70668,0.76944,0.51453,1.07588,1.07263,1.42318,0.0004,0.0004,0.0004
102,42324.8,0.86059,1.09067,1.49232,0.79332,0.70654,0.77015,0.51598,1.07387,1.06895,1.42141,0.000394,0.000394,0.000394
103,42742.2,0.86784,1.09748,1.49144,0.79839,0.70247,0.77089,0.51709,1.07192,1.06542,1.41936,0.000388,0.000388,0.000388
104,43141.5,0.85794,1.08663,1.49218,0.79785,0.70562,0.77172,0.51831,1.06983,1.06243,1.41752,0.000382,0.000382,0.000382
105,43510.7,0.8456,1.07185,1.4752,0.79506,0.70811,0.77264,0.51979,1.06809,1.05906,1.41594,0.000376,0.000376,0.000376
106,43892.3,0.84689,1.06818,1.47688,0.80176,0.70578,0.77382,0.52071,1.06611,1.05553,1.41385,0.00037,0.00037,0.00037
107,44252.2,0.83853,1.05754,1.4705,0.8018,0.7077,0.77482,0.52205,1.0642,1.05213,1.412,0.000364,0.000364,0.000364
108,44738.4,0.84731,1.04985,1.47188,0.80251,0.70863,0.77575,0.52332,1.06209,1.04842,1.41,0.000358,0.000358,0.000358
109,45164.4,0.83559,1.04865,1.46512,0.80382,0.70828,0.77667,0.52434,1.06011,1.04475,1.4079,0.000352,0.000352,0.000352
110,45588.3,0.84334,1.04972,1.4738,0.80528,0.70862,0.77734,0.5253,1.05817,1.04125,1.40584,0.000346,0.000346,0.000346
111,46001.8,0.83923,1.05471,1.47185,0.80621,0.70969,0.77844,0.52588,1.05616,1.03824,1.40382,0.00034,0.00034,0.00034
112,46449.7,0.83458,1.04404,1.46195,0.80693,0.70897,0.78002,0.52751,1.05407,1.03479,1.40186,0.000334,0.000334,0.000334
113,46827.5,0.83078,1.04041,1.4585,0.80885,0.70749,0.78072,0.52813,1.0521,1.03126,1.39999,0.000328,0.000328,0.000328
114,47242.5,0.81778,1.0245,1.45051,0.80975,0.70824,0.78127,0.52904,1.04999,1.02746,1.39779,0.000322,0.000322,0.000322
115,47660.3,0.81884,1.01672,1.45171,0.80806,0.70965,0.78186,0.53003,1.04778,1.02396,1.39577,0.000316,0.000316,0.000316
116,48101.1,0.8131,1.01217,1.44409,0.81,0.70984,0.7824,0.53096,1.04525,1.0202,1.39352,0.00031,0.00031,0.00031
117,48511.7,0.81777,1.01706,1.44878,0.81083,0.70895,0.78321,0.53192,1.04293,1.01635,1.39133,0.000304,0.000304,0.000304
118,401.84,0.86291,1.11748,1.49672,0.80757,0.70886,0.78282,0.53162,1.0427,1.01636,1.39059,0.000298,0.000298,0.000298
119,802.868,0.87357,1.11044,1.50465,0.80942,0.70823,0.78284,0.53176,1.04223,1.01532,1.38992,0.000292,0.000292,0.000292
120,1222.93,0.864,1.10874,1.49595,0.81438,0.70643,0.78332,0.53197,1.04209,1.01363,1.3897,0.000286,0.000286,0.000286
121,1627.66,0.85746,1.09977,1.49421,0.81416,0.70627,0.78362,0.53228,1.04157,1.01248,1.38903,0.00028,0.00028,0.00028
122,2012.63,0.85917,1.09367,1.49268,0.81337,0.70845,0.78382,0.53251,1.0408,1.01109,1.38828,0.000274,0.000274,0.000274
123,2423.94,0.861,1.09731,1.49622,0.81192,0.70818,0.78404,0.53347,1.04002,1.00955,1.38733,0.000268,0.000268,0.000268
124,2839.6,0.85268,1.07126,1.48447,0.80981,0.71118,0.78438,0.53364,1.03916,1.00806,1.38646,0.000262,0.000262,0.000262
125,3285.34,0.8459,1.07595,1.47578,0.81235,0.71086,0.78378,0.53403,1.03831,1.007,1.3856,0.000256,0.000256,0.000256
126,3661.87,0.84477,1.07313,1.4781,0.81163,0.711,0.78378,0.53431,1.03736,1.00513,1.38462,0.00025,0.00025,0.00025
127,4064.13,0.85525,1.08939,1.48242,0.81194,0.71025,0.78423,0.53513,1.03625,1.00374,1.38346,0.000244,0.000244,0.000244
128,4512.73,0.84572,1.07535,1.4802,0.8102,0.71271,0.78473,0.53593,1.03511,1.00217,1.38244,0.000238,0.000238,0.000238
129,4927.66,0.82858,1.05367,1.4632,0.80697,0.71486,0.78535,0.53673,1.0342,1.00058,1.38167,0.000232,0.000232,0.000232
130,5357.34,0.83933,1.05132,1.46914,0.81355,0.71273,0.78612,0.53755,1.03317,0.99887,1.38065,0.000226,0.000226,0.000226
131,5748.21,0.83856,1.04628,1.47082,0.80938,0.71521,0.78651,0.53838,1.03186,0.99705,1.37935,0.00022,0.00022,0.00022
132,6114.68,0.81921,1.03156,1.45521,0.81027,0.71667,0.78716,0.53894,1.03052,0.99518,1.37814,0.000214,0.000214,0.000214
133,6520.47,0.82808,1.03545,1.45991,0.81086,0.71708,0.78756,0.5398,1.02935,0.99308,1.37688,0.000208,0.000208,0.000208
134,6947.55,0.82636,1.05078,1.46501,0.80577,0.72096,0.7885,0.54075,1.0279,0.99137,1.37581,0.000202,0.000202,0.000202
135,7358.83,0.8235,1.02888,1.45867,0.8078,0.72061,0.78885,0.54118,1.02653,0.98961,1.37457,0.000196,0.000196,0.000196
136,7730.23,0.81797,1.02351,1.45175,0.80857,0.72104,0.7896,0.54219,1.02533,0.98746,1.37332,0.00019,0.00019,0.00019
137,8088.68,0.81186,1.01101,1.44762,0.80835,0.72159,0.79009,0.54299,1.02403,0.9857,1.37225,0.000184,0.000184,0.000184
138,8531.28,0.80961,1.0114,1.4439,0.80631,0.72295,0.78958,0.54398,1.02258,0.98376,1.37126,0.000178,0.000178,0.000178
139,8899.97,0.81454,1.01712,1.44651,0.80533,0.72255,0.7906,0.54452,1.0211,0.98213,1.37001,0.000172,0.000172,0.000172
140,9254.07,0.8095,1.01202,1.44568,0.80691,0.72347,0.79071,0.54501,1.01969,0.9801,1.36873,0.000166,0.000166,0.000166
141,9638.59,0.78513,0.71771,1.38193,0.80857,0.72231,0.79116,0.54569,1.01818,0.97797,1.36738,0.00016,0.00016,0.00016
142,10032.9,0.77419,0.69693,1.36828,0.8065,0.72412,0.79155,0.54602,1.01636,0.9755,1.36592,0.000154,0.000154,0.000154
143,10428.1,0.77093,0.68578,1.3645,0.80167,0.72535,0.79083,0.54662,1.01476,0.97316,1.36462,0.000148,0.000148,0.000148
144,10829.9,0.75941,0.67238,1.35225,0.80369,0.72618,0.79167,0.54739,1.01266,0.97061,1.36238,0.000142,0.000142,0.000142
145,11215.7,0.75613,0.66667,1.34913,0.80296,0.72862,0.79316,0.54808,1.011,0.96801,1.36116,0.000136,0.000136,0.000136
146,11616.5,0.74999,0.65646,1.34184,0.802,0.72953,0.79366,0.54966,1.00937,0.96537,1.35969,0.00013,0.00013,0.00013
147,12020.2,0.7457,0.65937,1.34155,0.81711,0.72155,0.79426,0.55091,1.00767,0.96312,1.35823,0.000124,0.000124,0.000124
148,12424.2,0.73901,0.6452,1.3297,0.81737,0.72221,0.79453,0.55225,1.00589,0.96058,1.3567,0.000118,0.000118,0.000118
149,12809.6,0.73494,0.64253,1.32674,0.81725,0.72374,0.79502,0.55308,1.00384,0.95765,1.35496,0.000112,0.000112,0.000112
150,13202,0.73192,0.6346,1.32738,0.81198,0.72699,0.79653,0.5539,1.00174,0.95513,1.35288,0.000106,0.000106,0.000106
