无人机编号,累计时间_min,剩余续航_min,剩余药量_L,事件
UAV-2,22.7732,24.6096,29.9886,覆盖喷洒段
UAV-2,22.8295,24.5532,29.9047,覆盖连接段
UAV-2,23.1862,24.1966,29.3732,覆盖喷洒段
UAV-2,23.2306,24.1522,29.3072,覆盖连接段
UAV-2,23.6571,23.7257,28.6716,覆盖喷洒段
UAV-2,23.6954,23.6874,28.6146,覆盖连接段
UAV-2,24.1756,23.2072,27.8991,覆盖喷洒段
UAV-2,24.2102,23.1725,27.8475,覆盖连接段
UAV-2,24.733,22.6497,27.0685,覆盖喷洒段
UAV-2,24.7606,22.6222,27.0275,覆盖连接段
UAV-2,25.3037,22.0791,26.2183,覆盖喷洒段
UAV-2,25.3341,22.0486,26.1729,覆盖连接段
UAV-2,25.8569,21.5259,25.394,覆盖喷洒段
UAV-2,25.9004,21.4824,25.3292,覆盖连接段
UAV-2,26.3997,20.983,24.5852,覆盖喷洒段
UAV-2,26.4281,20.9547,24.5429,覆盖连接段
UAV-2,26.9013,20.4815,23.8379,覆盖喷洒段
UAV-2,26.9448,20.438,23.7731,覆盖连接段
UAV-2,27.3892,19.9935,23.1109,覆盖喷洒段
UAV-2,27.4167,19.9661,23.0699,覆盖连接段
UAV-2,27.83,19.5527,22.4541,覆盖喷洒段
UAV-2,27.8735,19.5092,22.3892,覆盖连接段
UAV-2,28.2534,19.1294,21.8233,覆盖喷洒段
UAV-2,28.2808,19.102,21.7825,覆盖连接段
UAV-2,28.6247,18.758,21.27,覆盖喷洒段
UAV-2,28.6682,18.7145,21.2052,覆盖连接段
UAV-2,28.974,18.4088,20.7496,覆盖喷洒段
UAV-2,29.0022,18.3806,20.7076,覆盖连接段
UAV-2,29.2671,18.1156,20.3128,覆盖喷洒段
UAV-2,29.3106,18.0721,20.248,覆盖连接段
UAV-2,29.5322,17.8506,19.918,覆盖喷洒段
UAV-2,29.5622,17.8205,19.8731,覆盖连接段
UAV-2,29.7374,17.6454,19.6122,覆盖喷洒段
UAV-2,29.7809,17.6019,19.5474,覆盖连接段
UAV-2,29.9063,17.4765,19.3606,覆盖喷洒段
UAV-2,29.9401,17.4427,19.3101,覆盖连接段
UAV-2,30.0117,17.3711,19.2035,覆盖喷洒段
UAV-2,30.4338,16.949,18.5746,覆盖连接段
UAV-2,30.4545,16.9283,18.5437,覆盖喷洒段
UAV-2,30.9032,16.4795,17.8751,覆盖连接段
UAV-2,30.916,16.4668,17.8561,覆盖喷洒段
UAV-2,31.3468,16.0359,17.2142,覆盖连接段
UAV-2,31.3764,16.0064,17.1701,覆盖喷洒段
UAV-2,31.4199,15.9629,17.1053,覆盖连接段
UAV-2,31.4511,15.9316,17.0587,覆盖喷洒段
UAV-2,31.5029,15.8799,16.9817,覆盖连接段
UAV-2,31.524,15.8587,16.9501,覆盖喷洒段
UAV-2,32.0943,15.2885,16.9501,飞行-区域间
UAV-2,32.2856,15.0972,16.6801,覆盖喷洒段
UAV-2,32.3292,15.0535,16.6186,覆盖连接段
UAV-2,32.5886,14.7942,16.2526,覆盖喷洒段
UAV-2,32.6236,14.7591,16.2031,覆盖连接段
UAV-2,32.9268,14.4559,15.7752,覆盖喷洒段
UAV-2,32.9579,14.4249,15.7314,覆盖连接段
UAV-2,33.2905,14.0923,15.2621,覆盖喷洒段
UAV-2,33.3193,14.0634,15.2213,覆盖连接段
UAV-2,33.6705,13.7122,14.7257,覆盖喷洒段
UAV-2,33.6983,13.6845,14.6866,覆盖连接段
UAV-2,34.0589,13.3239,14.1776,覆盖喷洒段
UAV-2,34.0863,13.2965,14.139,覆盖连接段
UAV-2,34.448,12.9348,13.6286,覆盖喷洒段
UAV-2,34.4755,12.9072,13.5897,覆盖连接段
UAV-2,34.83,12.5528,13.0895,覆盖喷洒段
UAV-2,34.8585,12.5243,13.0493,覆盖连接段
UAV-2,35.1967,12.186,12.5719,覆盖喷洒段
UAV-2,35.2271,12.1557,12.5291,覆盖连接段
UAV-2,35.5389,11.8438,12.089,覆盖喷洒段
UAV-2,35.5727,11.8101,12.0414,覆盖连接段
UAV-2,35.8449,11.5379,11.6572,覆盖喷洒段
UAV-2,35.8855,11.4972,11.5999,覆盖连接段
UAV-2,36.0976,11.2852,11.3006,覆盖喷洒段
UAV-2,36.1602,11.2226,11.2123,覆盖连接段
UAV-2,36.2596,11.1232,11.072,覆盖喷洒段
UAV-2,36.947,10.4357,11.072,飞行-区域间
UAV-2,37.0547,10.3281,10.9705,覆盖喷洒段
UAV-2,37.0844,10.2983,10.9424,覆盖连接段
UAV-2,37.2156,10.1672,10.8187,覆盖喷洒段
UAV-2,37.2429,10.1398,10.7929,覆盖连接段
UAV-2,37.3727,10.0101,10.6705,覆盖喷洒段
UAV-2,37.4032,9.9795,10.6417,覆盖连接段
UAV-2,37.5057,9.8771,10.545,覆盖喷洒段
UAV-2,38.1885,9.1942,10.545,飞行-区域间
UAV-2,38.2962,9.0866,10.4426,覆盖喷洒段
UAV-2,38.3259,9.0568,10.4142,覆盖连接段
UAV-2,38.4571,8.9257,10.2894,覆盖喷洒段
UAV-2,38.4844,8.8984,10.2633,覆盖连接段
UAV-2,38.6142,8.7686,10.1398,覆盖喷洒段
UAV-2,38.6447,8.7381,10.1107,覆盖连接段
UAV-2,38.7471,8.6356,10.0132,覆盖喷洒段
UAV-2,40.0318,7.351,10.0132,返航
UAV-3,0.0,25.0,30.0,起飞
UAV-3,0.5572,24.4428,30.0,飞行-区域间
UAV-3,0.6649,24.3351,29.8998,覆盖喷洒段
UAV-3,0.6946,24.3054,29.8721,覆盖连接段
UAV-3,0.8258,24.1742,29.7499,覆盖喷洒段
UAV-3,0.8531,24.1469,29.7245,覆盖连接段
UAV-3,0.9829,24.0171,29.6037,覆盖喷洒段
UAV-3,1.0134,23.9866,29.5752,覆盖连接段
UAV-3,1.1159,23.8841,29.4799,覆盖喷洒段
UAV-3,1.4685,23.5315,29.4799,飞行-区域间
UAV-3,1.7136,23.2864,29.2658,覆盖喷洒段
UAV-3,1.7531,23.2469,29.2313,覆盖连接段
UAV-3,2.058,22.942,28.9649,覆盖喷洒段
UAV-3,2.0996,22.9004,28.9287,覆盖连接段
UAV-3,2.4547,22.5453,28.6184,覆盖喷洒段
UAV-3,2.4879,22.5121,28.5894,覆盖连接段
UAV-3,2.8933,22.1067,28.2353,覆盖喷洒段
UAV-3,2.9348,22.0652,28.199,覆盖连接段
UAV-3,3.3904,21.6096,27.801,覆盖喷洒段
UAV-3,3.4237,21.5763,27.772,覆盖连接段
UAV-3,3.9295,21.0705,27.3301,覆盖喷洒段
UAV-3,3.9711,21.0289,27.2939,覆盖连接段
UAV-3,4.5271,20.4729,26.8081,覆盖喷洒段
UAV-3,4.5604,20.4396,26.7791,覆盖连接段
UAV-3,5.1545,19.8455,26.26,覆盖喷洒段
UAV-3,5.1834,19.8166,26.2348,覆盖连接段
UAV-3,5.7482,19.2518,25.7415,覆盖喷洒段
UAV-3,5.7979,19.2021,25.698,覆盖连接段
UAV-3,6.3278,18.6722,25.2352,覆盖喷洒段
UAV-3,6.9592,18.0408,24.6837,覆盖连接段
UAV-3,6.9962,18.0038,24.6513,覆盖喷洒段
UAV-3,7.1784,17.8216,24.4922,覆盖连接段
UAV-3,7.6711,17.3289,24.0618,覆盖喷洒段
UAV-3,8.2653,16.7347,23.5427,覆盖连接段
UAV-3,8.3483,16.6517,23.4702,覆盖喷洒段
UAV-3,8.5761,16.4239,23.2712,覆盖连接段
UAV-3,9.0293,15.9707,22.8753,覆盖喷洒段
UAV-3,9.584,15.416,22.3908,覆盖连接段
UAV-3,9.7108,15.2892,22.28,覆盖喷洒段
UAV-3,9.982,15.018,22.0431,覆盖连接段
UAV-3,10.3937,14.6063,21.6835,覆盖喷洒段
UAV-3,10.9068,14.0932,21.2353,覆盖连接段
UAV-3,11.0751,13.9249,21.0883,覆盖喷洒段
UAV-3,11.3876,13.6124,20.8153,覆盖连接段
UAV-3,11.7554,13.2446,20.494,覆盖喷洒段
UAV-3,12.2246,12.7754,20.0841,覆盖连接段
UAV-3,12.4323,12.5677,19.9028,覆盖喷洒段
UAV-3,12.7841,12.2159,19.5955,覆盖连接段
UAV-3,13.1058,11.8942,19.3145,覆盖喷洒段
UAV-3,13.529,11.471,18.9448,覆盖连接段
UAV-3,13.7737,11.2263,18.731,覆盖喷洒段
UAV-3,14.1624,10.8376,18.3915,覆盖连接段
UAV-3,14.4357,10.5643,18.1528,覆盖喷洒段
UAV-3,14.8104,10.1896,17.8254,覆盖连接段
UAV-3,15.0899,9.9101,17.5813,覆盖喷洒段
UAV-3,15.5133,9.4867,17.2114,覆盖连接段
UAV-3,15.7357,9.2643,17.0171,覆盖喷洒段
UAV-3,16.0596,8.9404,16.7342,覆盖连接段
UAV-3,16.3713,8.6287,16.4619,覆盖喷洒段
UAV-3,16.8269,8.1731,16.064,覆盖连接段
UAV-3,16.9957,8.0043,15.9166,覆盖喷洒段
UAV-3,17.2659,7.7341,15.6805,覆盖连接段
UAV-3,17.6071,7.3929,15.3824,覆盖喷洒段
UAV-3,18.087,6.913,14.9632,覆盖连接段
UAV-3,18.2043,6.7957,14.8608,覆盖喷洒段
UAV-3,18.4178,6.5822,14.6743,覆盖连接段
UAV-3,18.7856,6.2144,14.353,覆盖喷洒段
UAV-3,19.2853,5.7147,13.9165,覆盖连接段
UAV-3,19.349,5.651,13.8609,覆盖喷洒段
UAV-3,19.5031,5.4969,13.7262,覆盖连接段
UAV-3,19.893,5.107,13.3857,覆盖喷洒段
UAV-3,20.409,4.591,12.9349,覆盖连接段
UAV-3,20.4147,4.5853,12.9299,覆盖喷洒段
UAV-3,20.5109,4.4891,12.8459,覆盖连接段
UAV-3,20.9127,4.0873,12.495,覆盖喷洒段
UAV-3,20.9523,4.0477,12.4603,覆盖连接段
UAV-3,21.3603,3.6397,12.1039,覆盖喷洒段
UAV-3,21.388,3.612,12.0797,覆盖连接段
UAV-3,21.7543,3.2457,11.7598,覆盖喷洒段
UAV-3,21.8136,3.1864,11.708,覆盖连接段
UAV-3,22.0,3.0,11.5451,电量不足
UAV-3,22.0978,25.0,30.0,道路补给
UAV-3,22.2704,24.8274,29.9347,覆盖喷洒段
UAV-3,22.6208,24.477,29.9347,飞行-区域间
UAV-3,22.6804,24.4175,29.8902,覆盖喷洒段
UAV-3,22.7091,24.3887,29.8687,覆盖连接段
UAV-3,22.825,24.2728,29.782,覆盖喷洒段
UAV-3,23.1407,23.9571,29.546,覆盖连接段
UAV-3,23.2133,23.8845,29.4917,覆盖喷洒段
UAV-3,23.4783,23.6195,29.2935,覆盖连接段
UAV-3,23.6378,23.46,29.1743,覆盖喷洒段
UAV-3,23.9533,23.1446,28.9384,覆盖连接段
UAV-3,24.0955,23.0023,28.832,覆盖喷洒段
UAV-3,24.3863,22.7116,28.6146,覆盖连接段
UAV-3,24.5817,22.5161,28.4685,覆盖喷洒段
UAV-3,24.9328,22.165,28.2059,覆盖连接段
UAV-3,25.0938,22.004,28.0855,覆盖喷洒段
UAV-3,25.4274,21.6704,27.8361,覆盖连接段
UAV-3,25.629,21.4688,27.6854,覆盖喷洒段
UAV-3,26.0158,21.0821,27.3962,覆盖连接段
UAV-3,26.1849,20.9129,27.2697,覆盖喷洒段
UAV-3,26.5771,20.5208,26.9765,覆盖连接段
UAV-3,26.7596,20.3383,26.84,覆盖喷洒段
UAV-3,27.1779,19.92,26.5272,覆盖连接段
UAV-3,27.3511,19.7468,26.3978,覆盖喷洒段
UAV-3,27.7978,19.3001,26.0637,覆盖连接段
UAV-3,27.9578,19.1401,25.9441,覆盖喷洒段
UAV-3,28.2114,18.8865,25.7545,覆盖连接段
UAV-3,28.2408,18.8571,25.7325,覆盖喷洒段
UAV-3,28.578,18.5198,25.4803,覆盖连接段
UAV-3,28.7518,18.346,25.3504,覆盖喷洒段
UAV-3,29.2105,17.8873,25.0074,覆盖连接段
UAV-3,29.3451,17.7527,24.9067,覆盖喷洒段
UAV-3,29.5188,17.5791,24.7769,覆盖连接段
UAV-3,29.5988,17.499,24.717,覆盖喷洒段
UAV-3,29.8423,17.2555,24.535,覆盖连接段
UAV-3,30.0137,17.0841,24.4068,覆盖喷洒段
UAV-3,30.5598,16.538,23.9985,覆盖连接段
UAV-3,30.6662,16.4316,23.9189,覆盖喷洒段
UAV-3,30.8663,16.2316,23.7693,覆盖连接段
UAV-3,30.997,16.1009,23.6716,覆盖喷洒段
UAV-3,31.3269,15.771,23.4249,覆盖连接段
UAV-3,31.4934,15.6045,23.3004,覆盖喷洒段
UAV-3,31.9946,15.1032,22.9256,覆盖连接段
UAV-3,32.0705,15.0273,22.8688,覆盖喷洒段
UAV-3,32.3455,14.7524,22.6633,覆盖连接段
UAV-3,32.5268,14.571,22.5277,覆盖喷洒段
UAV-3,32.8716,14.2263,22.2699,覆盖连接段
UAV-3,33.0306,14.0672,22.151,覆盖喷洒段
UAV-3,33.6655,13.4324,21.6763,覆盖连接段
UAV-3,33.7085,13.3893,21.6441,覆盖喷洒段
UAV-3,33.8451,13.2527,21.5419,覆盖连接段
UAV-3,34.0771,13.0207,21.3685,覆盖喷洒段
UAV-3,34.3899,12.708,21.1346,覆盖连接段
UAV-3,34.5392,12.5586,21.0229,覆盖喷洒段
UAV-3,35.0734,12.0244,20.6235,覆盖连接段
UAV-3,35.081,12.0168,20.6178,覆盖喷洒段
UAV-3,35.4572,11.6406,20.3365,覆盖连接段
UAV-3,35.7398,11.358,20.1252,覆盖喷洒段
UAV-3,36.1859,10.912,19.7917,覆盖连接段
UAV-3,36.3232,10.7746,19.689,覆盖喷洒段
UAV-3,36.6116,10.4863,19.4734,覆盖连接段
UAV-3,36.9448,10.153,19.2242,覆盖喷洒段
UAV-3,37.4415,9.6564,18.8528,覆盖连接段
UAV-3,37.5647,9.5331,18.7607,覆盖喷洒段
UAV-3,37.839,9.2588,18.5556,覆盖连接段
UAV-3,38.2229,8.8749,18.2685,覆盖喷洒段
UAV-3,38.7702,8.3276,17.8593,覆盖连接段
UAV-3,38.8771,8.2207,17.7793,覆盖喷洒段
UAV-3,39.1352,7.9627,17.5864,覆盖连接段
UAV-3,39.5529,7.545,17.2741,覆盖喷洒段
UAV-3,40.134,6.9638,16.8395,覆盖连接段
UAV-3,40.2224,6.8755,16.7735,覆盖喷洒段
UAV-3,40.462,6.6359,16.5943,覆盖连接段
UAV-3,40.8863,6.2116,16.2771,覆盖喷洒段
UAV-3,41.474,5.6238,15.8376,覆盖连接段
UAV-3,41.5414,5.5564,15.7872,覆盖喷洒段
UAV-3,41.7602,5.3376,15.6236,覆盖连接段
UAV-3,42.1886,4.9092,15.3033,覆盖喷洒段
UAV-3,42.7804,4.3174,14.8607,覆盖连接段
UAV-3,42.8245,4.2734,14.8278,覆盖喷洒段
UAV-3,43.0201,4.0777,14.6815,覆盖连接段
UAV-3,43.4499,3.6479,14.3601,覆盖喷洒段
UAV-3,44.0432,3.0547,13.9165,覆盖连接段
UAV-3,44.061,3.0368,13.9032,覆盖喷洒段
UAV-3,44.0978,3.0,13.8757,电量不足
UAV-3,44.4578,25.0,30.0,道路补给
UAV-3,44.9506,24.5072,29.9006,覆盖连接段
UAV-3,45.3787,24.0791,29.5806,覆盖喷洒段
UAV-3,45.412,24.0458,29.5556,覆盖连接段
UAV-3,45.8347,23.6231,29.2396,覆盖喷洒段
UAV-3,45.8653,23.5925,29.2167,覆盖连接段
UAV-3,46.2783,23.1795,28.9079,覆盖喷洒段
UAV-3,46.3185,23.1393,28.8778,覆盖连接段
UAV-3,46.7157,22.7421,28.5808,覆盖喷洒段
UAV-3,46.743,22.7148,28.5604,覆盖连接段
UAV-3,47.1024,22.3554,28.2917,覆盖喷洒段
UAV-3,47.1636,22.2941,28.2459,覆盖连接段
UAV-3,47.4135,22.0443,28.059,覆盖喷洒段
UAV-3,48.0312,21.4266,28.059,飞行-区域间
UAV-3,48.3773,21.0804,27.6379,覆盖喷洒段
UAV-3,48.5717,20.886,27.4013,覆盖连接段
UAV-3,48.6127,20.8451,27.3515,覆盖喷洒段
UAV-3,49.2146,20.2432,26.619,覆盖连接段
UAV-3,49.6712,19.7865,26.0633,覆盖喷洒段
UAV-3,49.864,19.5938,25.8288,覆盖连接段
UAV-3,49.9033,19.5545,25.781,覆盖喷洒段
UAV-3,50.5467,18.9111,24.998,覆盖连接段
UAV-3,51.0449,18.4129,24.3917,覆盖喷洒段
UAV-3,51.2337,18.2241,24.162,覆盖连接段
UAV-3,51.269,18.1888,24.1191,覆盖喷洒段
UAV-3,51.9239,17.5339,23.3221,覆盖连接段
UAV-3,52.4336,17.0241,22.7018,覆盖喷洒段
UAV-3,52.6162,16.8416,22.4797,覆盖连接段
UAV-3,52.6453,16.8125,22.4443,覆盖喷洒段
UAV-3,53.3094,16.1483,21.636,覆盖连接段
UAV-3,53.8285,15.6293,21.0044,覆盖喷洒段
UAV-3,54.0027,15.4551,20.7924,覆盖连接段
UAV-3,54.0234,15.4343,20.7672,覆盖喷洒段
UAV-3,54.6948,14.763,19.9502,覆盖连接段
UAV-3,55.221,14.2368,19.3099,覆盖喷洒段
UAV-3,55.3845,14.0733,19.1109,覆盖连接段
UAV-3,55.3946,14.0632,19.0986,覆盖喷洒段
UAV-3,56.0709,13.3869,18.2756,覆盖连接段
UAV-3,56.6021,12.8557,17.6293,覆盖喷洒段
UAV-3,56.6308,12.827,17.5943,覆盖连接段
UAV-3,57.1646,12.2932,16.9447,覆盖喷洒段
UAV-3,57.1932,12.2645,16.9098,覆盖连接段
UAV-3,57.7274,11.7304,16.2599,覆盖喷洒段
UAV-3,57.7561,11.7017,16.2249,覆盖连接段
UAV-3,58.2879,11.1699,15.5777,覆盖喷洒段
UAV-3,58.3186,11.1391,15.5404,覆盖连接段
UAV-3,58.8453,10.6125,14.8995,覆盖喷洒段
UAV-3,58.874,10.5838,14.8646,覆盖连接段
UAV-3,59.3921,10.0656,14.234,覆盖喷洒段
UAV-3,59.4268,10.031,14.1919,覆盖连接段
UAV-3,59.9325,9.5253,13.5765,覆盖喷洒段
UAV-3,59.9607,9.4971,13.5422,覆盖连接段
UAV-3,60.4331,9.0247,12.9673,覆盖喷洒段
UAV-3,60.4762,8.9816,12.9148,覆盖连接段
UAV-3,60.8821,8.5757,12.421,覆盖喷洒段
UAV-3,60.9344,8.5234,12.3573,覆盖连接段
UAV-3,61.2511,8.2067,11.9719,覆盖喷洒段
UAV-3,61.3279,8.1298,11.8784,覆盖连接段
UAV-3,61.5008,7.957,11.668,覆盖喷洒段
UAV-3,62.9267,6.5311,11.668,返航
