epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8249.08,0.95687,1.1784,1.5819,0.75086,0.67906,0.74638,0.49326,1.11517,1.16506,1.44403,0.000374,0.000374,0.000374
44,8481.33,0.95393,1.1662,1.57842,0.75922,0.68301,0.74761,0.49786,1.10294,1.14658,1.43283,0.000371,0.000371,0.000371
45,8721.15,0.9422,1.15634,1.57197,0.7647,0.69379,0.75148,0.5017,1.0928,1.13097,1.42376,0.000368,0.000368,0.000368
46,8961.6,0.94314,1.14226,1.57068,0.76029,0.70284,0.75935,0.5059,1.08416,1.124,1.41757,0.000365,0.000365,0.000365
47,9224.7,0.92848,1.12165,1.56227,0.76756,0.69788,0.7601,0.50911,1.08011,1.11455,1.41286,0.000362,0.000362,0.000362
48,9464.77,0.92564,1.10795,1.55423,0.76542,0.70132,0.76107,0.5109,1.07537,1.10279,1.40808,0.000359,0.000359,0.000359
49,9704.31,0.92639,1.10526,1.55243,0.77778,0.69739,0.76207,0.51312,1.06902,1.09343,1.40131,0.000356,0.000356,0.000356
50,9972.37,0.90591,1.07999,1.53871,0.77669,0.70852,0.76609,0.51682,1.06455,1.08219,1.39695,0.000353,0.000353,0.000353
51,10212.5,0.90121,1.06173,1.52936,0.77644,0.71113,0.76852,0.52037,1.05925,1.07407,1.39163,0.00035,0.00035,0.00035
52,10451.9,0.89854,1.06728,1.52489,0.78575,0.70375,0.77031,0.52337,1.05429,1.06433,1.38617,0.000347,0.000347,0.000347
53,10695.8,0.8913,1.05519,1.52048,0.79104,0.70836,0.77291,0.52682,1.04636,1.05485,1.37847,0.000344,0.000344,0.000344
54,10956.2,0.88945,1.03395,1.51737,0.78444,0.71449,0.77346,0.53136,1.03882,1.04429,1.37226,0.000341,0.000341,0.000341
55,11194.8,0.8837,1.02989,1.51447,0.78932,0.71491,0.77558,0.53351,1.0306,1.03635,1.36439,0.000338,0.000338,0.000338
56,11434.3,0.87527,1.01114,1.50459,0.79028,0.71577,0.77754,0.53571,1.02355,1.02623,1.35824,0.000335,0.000335,0.000335
57,11698.6,0.86832,1.00704,1.50033,0.79152,0.71648,0.77962,0.5383,1.01972,1.01736,1.3547,0.000332,0.000332,0.000332
58,11938.1,0.86045,0.98921,1.4908,0.79061,0.72422,0.7807,0.54056,1.01448,1.00957,1.35006,0.000329,0.000329,0.000329
59,12177.4,0.84894,0.97356,1.48093,0.79323,0.72434,0.78163,0.54342,1.00921,1.00303,1.34551,0.000326,0.000326,0.000326
60,12436.2,0.84911,0.97749,1.47722,0.7983,0.72381,0.7835,0.54643,1.00395,0.99599,1.34056,0.000323,0.000323,0.000323
61,12682.4,0.85046,0.96424,1.47601,0.79649,0.72939,0.78603,0.54953,1.00072,0.98952,1.33722,0.00032,0.00032,0.00032
62,12922.6,0.83792,0.95339,1.46204,0.79648,0.73022,0.78717,0.55125,0.99623,0.98316,1.33295,0.000317,0.000317,0.000317
63,13161.6,0.83219,0.93479,1.46057,0.79882,0.72664,0.78782,0.55364,0.9925,0.97684,1.32947,0.000314,0.000314,0.000314
64,13427.7,0.82999,0.94589,1.45892,0.79311,0.73097,0.78882,0.55578,0.98771,0.97114,1.32466,0.000311,0.000311,0.000311
65,13666.5,0.82227,0.93011,1.4489,0.79819,0.72749,0.79004,0.55705,0.98425,0.9651,1.3212,0.000308,0.000308,0.000308
66,13904,0.81745,0.91701,1.4427,0.80027,0.72605,0.79153,0.55894,0.98021,0.95968,1.31727,0.000305,0.000305,0.000305
67,14169,0.80758,0.90552,1.43792,0.80187,0.72718,0.79289,0.56138,0.97604,0.95409,1.31384,0.000302,0.000302,0.000302
68,14408.3,0.80201,0.8942,1.4306,0.80295,0.72873,0.79385,0.56332,0.972,0.94893,1.31046,0.000299,0.000299,0.000299
69,14647.7,0.80207,0.89641,1.42856,0.80168,0.73095,0.7947,0.56479,0.96879,0.94433,1.30746,0.000296,0.000296,0.000296
70,14900.7,0.80033,0.89349,1.42735,0.80338,0.73022,0.79631,0.56647,0.96549,0.93904,1.30474,0.000293,0.000293,0.000293
71,15152.9,0.78935,0.87436,1.41949,0.80879,0.73003,0.79812,0.56822,0.9618,0.93426,1.30129,0.00029,0.00029,0.00029
72,15391.2,0.78469,0.86905,1.41624,0.8052,0.73573,0.7993,0.56975,0.95819,0.92974,1.29814,0.000287,0.000287,0.000287
73,15630.8,0.78358,0.85992,1.40653,0.808,0.73248,0.80035,0.57124,0.955,0.92539,1.29538,0.000284,0.000284,0.000284
74,15896.7,0.7709,0.84939,1.39825,0.80995,0.73715,0.80125,0.5723,0.95234,0.92118,1.29325,0.000281,0.000281,0.000281
75,16136.4,0.77387,0.84557,1.39849,0.81462,0.73577,0.80228,0.57405,0.94963,0.91666,1.29059,0.000278,0.000278,0.000278
76,16375.5,0.76353,0.84326,1.39109,0.8138,0.73778,0.80309,0.57525,0.94614,0.91243,1.28719,0.000275,0.000275,0.000275
77,16638.8,0.75636,0.8337,1.38659,0.81064,0.74109,0.80372,0.5765,0.94321,0.90819,1.28465,0.000272,0.000272,0.000272
78,16879.3,0.75965,0.82592,1.38397,0.80853,0.74347,0.80484,0.57836,0.94056,0.90352,1.2825,0.000269,0.000269,0.000269
79,17119,0.75357,0.80974,1.38128,0.81128,0.74285,0.80599,0.57998,0.93794,0.89969,1.28061,0.000266,0.000266,0.000266
80,17362.2,0.75018,0.81365,1.37312,0.8108,0.74445,0.80603,0.58074,0.93548,0.89588,1.27817,0.000263,0.000263,0.000263
81,17623.2,0.74339,0.80761,1.36958,0.80975,0.74426,0.80702,0.58204,0.93274,0.89237,1.2756,0.00026,0.00026,0.00026
82,17862.3,0.73855,0.79872,1.36541,0.81072,0.74364,0.80725,0.58354,0.93024,0.88868,1.27371,0.000257,0.000257,0.000257
83,18101.7,0.73928,0.79618,1.36191,0.80955,0.7448,0.80806,0.58468,0.92725,0.885,1.27114,0.000254,0.000254,0.000254
84,18365.5,0.72458,0.78924,1.35112,0.81113,0.74405,0.80838,0.58628,0.92443,0.88136,1.26871,0.000251,0.000251,0.000251
85,18604.3,0.7251,0.78862,1.34969,0.81249,0.74285,0.8086,0.58702,0.92149,0.87804,1.26597,0.000248,0.000248,0.000248
86,18844,0.72235,0.77946,1.34728,0.81304,0.74393,0.80991,0.58841,0.91879,0.87511,1.2637,0.000245,0.000245,0.000245
87,19100.4,0.71997,0.7705,1.34687,0.81398,0.74305,0.8104,0.58925,0.91574,0.87257,1.26109,0.000242,0.000242,0.000242
88,19347.7,0.71471,0.76409,1.33682,0.81373,0.74412,0.81151,0.59099,0.9127,0.86904,1.25809,0.000239,0.000239,0.000239
89,19587,0.70599,0.76134,1.33555,0.81317,0.74864,0.81203,0.59238,0.91012,0.86582,1.2557,0.000236,0.000236,0.000236
90,19826.4,0.70726,0.76039,1.33233,0.81149,0.75199,0.81263,0.59392,0.90761,0.86347,1.25327,0.000233,0.000233,0.000233
91,20090.9,0.70197,0.74829,1.32408,0.81311,0.75204,0.81317,0.59501,0.90469,0.86043,1.25086,0.00023,0.00023,0.00023
92,20330.6,0.69674,0.74452,1.32281,0.81397,0.75199,0.81396,0.59618,0.9021,0.85781,1.24867,0.000227,0.000227,0.000227
93,20570,0.69379,0.73442,1.31608,0.81111,0.75726,0.81406,0.59714,0.89929,0.85534,1.24605,0.000224,0.000224,0.000224
94,20834.6,0.69516,0.73558,1.31733,0.80707,0.76392,0.81426,0.59851,0.89639,0.8528,1.24322,0.000221,0.000221,0.000221
95,21073.6,0.68048,0.72555,1.30932,0.80527,0.76524,0.81512,0.59979,0.8938,0.85028,1.24099,0.000218,0.000218,0.000218
96,21312.8,0.68624,0.72932,1.30936,0.80751,0.76545,0.81626,0.60132,0.89102,0.84802,1.23845,0.000215,0.000215,0.000215
97,21561.5,0.67059,0.71294,1.29905,0.80794,0.76604,0.81677,0.60265,0.88833,0.84449,1.2357,0.000212,0.000212,0.000212
98,21816.4,0.67428,0.71269,1.29761,0.8054,0.76874,0.81703,0.60354,0.88626,0.84251,1.23382,0.000209,0.000209,0.000209
99,22055.4,0.67058,0.70705,1.29405,0.80443,0.76862,0.81736,0.60544,0.88355,0.84017,1.23142,0.000206,0.000206,0.000206
100,22294.8,0.66763,0.70485,1.2914,0.80527,0.76752,0.81837,0.60644,0.88101,0.8374,1.22945,0.000203,0.000203,0.000203
101,22559.8,0.66622,0.70777,1.28636,0.80409,0.76672,0.81894,0.60769,0.8781,0.83532,1.22702,0.0002,0.0002,0.0002
102,22798.6,0.65766,0.69683,1.28016,0.80745,0.76621,0.81855,0.60875,0.87564,0.83407,1.22475,0.000197,0.000197,0.000197
103,23037.7,0.65751,0.69424,1.2815,0.80878,0.76477,0.819,0.61024,0.87283,0.83298,1.22247,0.000194,0.000194,0.000194
104,23300.8,0.64853,0.68804,1.27271,0.80928,0.76579,0.81931,0.61105,0.87032,0.83186,1.22037,0.000191,0.000191,0.000191
105,23541.2,0.647,0.68069,1.27299,0.8116,0.76617,0.82131,0.61251,0.86775,0.82993,1.21825,0.000188,0.000188,0.000188
106,23781.1,0.64488,0.67453,1.26963,0.81562,0.76487,0.82135,0.61335,0.86512,0.829,1.21599,0.000185,0.000185,0.000185
107,24023.4,0.64595,0.67555,1.27063,0.81402,0.76633,0.82151,0.61485,0.86252,0.82788,1.21368,0.000182,0.000182,0.000182
